uid,nces_school_id,TypeShooter1_uid,TypeShooter2_uid
1,80480000707,92,187
2,220054000422,30,187
3,130441001591,43,187
4,421899003847,80,187
5,250279000225,178,187
6,350069000240,8,187
7,401197000559,16,187
8,120153001590,60,187
9,62460009581,20,187
10,170993000748,7,187
11,280132000190,178,187
12,402961001555,106,187
13,260450004135,1,79
14,401521000713,143,204
15,40146000077,147,187
16,120150002873,17,187
17,530723002564,18,187
18,390444101350,31,205
19,220117000980,21,187
20,62927004519,75,187
21,240009000263,107,187
22,481623021205,32,208
23,61623002026,43,187
24,1195358,25,187
25,61623002020,93,187
26,180387000637,81,187
27,220108001296,31,187
28,481854001737,61,187
29,62271007751,178,187
30,210135000271,138,187
31,60003206330,62,187
32,260804000994,82,187
33,362058002029,80,187
34,62271003034,80,206
35,240051000982,167,187
36,340783002776,46,187
37,753892,149,187
38,440090000232,179,187
39,80723001239,31,187
40,110003000082,46,187
41,220117000928,107,187
42,60003907541,178,187
43,422010004597,26,187
44,280447000830,114,187
45,530825001388,60,187
46,270944000388,43,187
47,370090000337,21,187
48,61233007702,180,187
49,110003000084,88,187
50,360963000731,60,187
51,421899003675,98,187
52,62805012992,181,187
53,173291003406,167,187
54,180387000649,179,187
55,240009001561,62,187
56,220117000973,134,187
57,A9902648,135,187
58,173123003295,38,187
59,170993005072,181,187
60,470318001337,63,187
61,273051001303,52,187
62,481275000769,153,187
63,422583001736,156,187
64,470210000681,31,187
65,120048004192,178,187
66,170993000851,46,187
67,291191000440,76,187
68,263039006677,46,187
69,470042000117,43,187
70,261200004670,94,187
71,550960001256,94,187
72,120171001868,173,187
73,510081000299,108,187
74,64059009648,31,187
75,482034002033,62,187
76,421917000420,121,187
77,411071000300,27,187
78,320048000211,27,187
79,62271003429,115,187
80,370348001447,101,187
81,481970008026,182,73
82,80237000087,161,187
83,551647002155,43,187
84,0,140,187
85,291635002429,19,187
86,530870001466,93,187
87,390437500382,62,187
88,421899003825,178,187
89,262382006068,77,187
90,170993000943,46,187
91,410600004183,46,187
92,482829010477,31,187
93,120087003862,83,187
94,390437804449,33,187
95,130102000413,178,187
96,370012202591,53,187
97,470294001080,62,187
98,1059778,165,187
99,470294001122,80,187
100,61785002199,31,187
101,1,122,187
102,61455001762,146,187
103,470222000775,46,187
104,120018000169,39,187
105,261200004670,84,187
106,61674002125,172,187
107,120048000691,181,187
108,220090000711,47,187
109,90003101405,62,187
110,510189000805,62,204
111,360002101704,136,187
112,450249000244,174,187
113,220030000208,131,187
114,10000800495,24,187
115,80480001315,141,187
116,510300001255,40,187
117,62271003364,46,187
118,470399001624,183,187
119,450249000639,27,187
120,63398005332,178,187
121,60750000711,148,187
122,550870000995,44,187
123,317374001251,68,187
124,62271003034,80,187
125,63078004786,151,187
126,180651001136,45,187
127,120144003884,69,187
128,482364002572,1,187
129,370001100402,46,187
130,481168000648,183,187
131,483306003674,93,187
132,330299000122,31,187
133,530066000135,6,187
134,390471802789,78,187
135,259508,132,187
136,10237000962,54,187
137,370072002474,158,187
138,240012000446,43,187
139,172862003002,27,187
140,90291000617,111,187
141,A0300763,181,187
142,63873006511,60,187
143,130012000060,46,187
144,1056711,80,187
145,120039000578,7,187
146,130174003766,112,187
147,370150000592,88,187
148,A0300751,185,187
149,480894000327,58,187
150,320048000247,9,187
151,60846000845,5,187
152,120144001454,71,187
153,80531000873,92,187
154,470258002032,53,187
155,350225000506,10,187
156,421314005056,181,187
157,420007800563,71,187
158,2,88,187
159,150003000186,183,91
160,410198000270,82,187
161,370405002253,69,187
162,291640003220,150,187
163,130228000967,181,187
164,370001201495,70,187
165,411052001009,44,187
166,120039005495,181,187
167,210299000628,53,187
168,370432000022,46,187
169,530486003317,42,187
170,A1301728,157,187
171,530585000869,62,187
172,130438004230,179,187
173,463135000264,60,187
174,482499010445,118,187
175,130138002640,179,187
176,120027002425,46,187
177,50729000443,80,187
178,421899003851,64,187
179,40345000284,48,187
180,390461202443,27,187
181,10039000141,99,187
182,480795000124,34,187
183,450087000092,28,187
184,10237000964,55,187
185,390438000672,178,187
186,63441011252,178,187
187,490014200328,31,187
188,260426004113,159,187
189,490021000750,43,187
190,390462102472,76,187
191,220054000423,31,187
192,63417005375,160,187
193,220033000252,4,187
194,10171002162,179,187
195,170993001166,168,187
196,390438004430,89,187
197,530297000485,43,187
198,172505002734,27,187
199,262115008414,115,187
200,130228000967,181,187
201,60978004178,152,187
202,350015000135,116,187
203,370192000956,198,187
204,482445002740,60,187
205,220018802340,181,187
206,210381000976,43,187
207,10237000942,53,187
208,62271012483,12,187
209,120018002721,103,187
210,130162000786,162,187
211,10039000141,71,187
212,62553003843,175,56
213,301854000824,182,187
214,510300001245,187,187
215,240060001224,79,187
216,120126001271,109,187
217,370297001214,46,187
218,60282009515,31,187
219,171233001481,104,187
220,483927004473,76,187
221,180765000639,21,187
222,370297003466,144,187
223,320006000567,53,187
224,20018000072,127,187
225,645876,187,187
226,90045001161,95,187
227,370297002324,53,187
228,510300001257,137,187
229,180951001555,33,187
230,410204000621,139,187
231,240009000209,125,187
232,350001001024,62,187
233,201164001534,128,187
234,10243001035,53,187
235,10042000205,166,187
236,51182000899,35,187
237,120048000698,187,187
238,10243001035,59,187
239,80345006493,60,187
240,110003000122,187,187
241,450072001202,187,187
242,62271003087,187,187
243,3,129,187
244,10243002084,145,187
245,110003000182,187,187
246,63583006130,85,187
247,240009000236,187,187
248,64251006961,61,187
249,551578002025,176,187
250,551119001496,176,187
251,10117000429,120,187
252,864049,187,187
253,230704,169,187
254,482364002397,52,187
255,62922009598,187,187
256,490087000524,191,187
257,60285000207,49,187
258,350011700891,187,187
259,A1592044,164,187
260,120048000691,96,187
261,370042000124,201,187
262,370210000929,13,187
263,51393001212,41,187
264,450156000305,163,187
265,470222000767,72,187
266,10297001160,41,187
267,363033004076,105,187
268,5,187,187
269,1060127,187,187
270,273178001333,11,187
271,100162000141,155,187
272,360106506342,41,187
273,180567001032,142,207
274,450237000601,200,187
275,160157001061,188,187
276,482364013022,187,187
277,280456001097,113,187
278,261962005629,187,187
279,130012001865,100,187
280,370297003363,124,187
281,272124004557,187,95
282,63384005261,187,187
283,260111708862,65,187
284,4,186,187
285,540385,73,187
286,130174002537,189,187
287,350006000118,22,187
288,450391000873,36,187
289,370333001384,41,187
290,370150000623,49,187
291,470369001987,49,187
292,261428008350,190,187
293,510264001451,49,187
294,280315001222,179,187
295,470014801043,22,187
296,480020910714,126,187
297,482892013423,90,187
298,170993001061,187,187
299,50900000607,187,187
300,170993000957,187,187
301,734676,187,187
302,80234000064,67,187
303,40633001882,50,187
304,262724006338,43,187
305,350006000063,170,187
306,362376003307,23,187
307,360009002194,154,187
308,173897003955,187,187
309,483432003843,117,187
310,360108506376,187,187
311,370405002882,181,187
312,370297001285,191,187
313,450336000951,50,187
314,173451003599,56,187
315,120171001872,57,187
316,240048000808,86,187
317,421917006047,187,187
318,201014000040,90,187
319,190897000528,187,187
320,120039007984,87,187
321,450231001254,14,187
322,420930007612,37,187
323,270002502871,102,187
324,80615001357,202,187
325,63255005018,191,187
326,531011001690,50,187
327,484372004970,91,187
328,170993000709,5,187
329,510313001319,110,187
332,390483303211,191,187
333,280360000691,5,187
334,50002600867,193,187
335,362010001839,187,187
336,130123000473,191,187
337,320006000114,192,187
338,262540000932,193,187
339,380004600461,203,187
340,253426,123,187
342,483042003425,86,187
343,120150002783,194,187
344,482364002562,86,187
345,64074006734,171,187
347,10162000565,202,187
348,62271003052,187,187
349,62805004278,199,187
350,240009000280,86,187
351,120129008739,177,187
352,271878000880,179,187
353,62805007326,187,187
354,250279000261,86,187
355,550960002700,187,187
356,292928002013,100,187
357,530771001187,37,187
358,170492000182,187,187
359,181059001739,195,187
360,470014802565,50,187
361,240051001164,67,187
362,411004000958,187,187
363,510264001071,3,187
364,370472001860,15,187
365,390438000590,51,187
366,100023000209,67,187
367,490036000764,191,187
368,40963002775,187,187
369,170010905367,190,187
370,401257000587,196,187
371,362475006711,187,187
372,220027702434,187,50
373,BB081130,187,187
374,481620001203,187,187
375,360010306362,187,187
376,421917007412,187,187
377,480813000170,187,187
378,480870000253,179,187
379,80336000338,74,187
380,A0503352,133,187
381,10009000011,191,187
382,180660001162,197,187
383,510324002081,97,187
384,470222000822,37,187
385,260019501104,130,187
386,421899007517,191,187
387,110003000008,187,187
388,320006000029,95,187
389,421917006047,50,187
390,600937,203,187
391,260021001494,119,187
